position,status,name,model,operator,launch_place,launch_data
91 E,active,Measat 3D,Eurostar-3000,MEASAT Satellite Systems Sdn. Bhd.,5648,22-Jun-2022
91 E,active,Measat 3B (Jabiru 2),Eurostar-3000,MEASAT Satellite Systems Sdn. Bhd.,5897,11-Sep-2014
91 E,disabled,Jabiru 1 (Measat 3C),A2100A,NewSat Ltd,5900,30-Jun-2016
92 E,active,"ChinaSat 9 (Zhongxing-9, ZX-9)",Spacebus-4000C2,China Satellite Communications Co. Ltd.(China Satcom),4500,9-Jun-2008
92 E,active,"ChinaSat 9C (Zhongxing-9C, ZX-9C)",DFH-4E Bus,China Satellite Communications Co. Ltd.(China Satcom),5500,20-Jun-2025
93 E,active,GSAT 15,I-3K (I-3000) Bus,NewSpace India Ltd (NSIL),3164,10-Nov-2015
93 E,active,GSAT 17,I-3K (I-3000) Bus,NewSpace India Ltd (NSIL),3477,28-Jul-2017
93 E,retired,Insat 3A,Insat-2/-3 Bus,Indian National Satellite (INSAT),2950,9-Apr-2003
93 E,retired,Insat 3C,Insat-2/-3 Bus,Indian National Satellite (INSAT),2650,23-Jan-2002
95 E,active,SES 8,GEOStar-2,SES S.A.,3138,3-Dec-2013
95 E,active,"Luch 5V (Loutch-5V, Луч-5В)",Express-1000A,Roscosmos (Russian Federal Space Agency),1148,28-Apr-2014
95 E,active,Skynet 5A,Eurostar-3000S,Paradigm Secure Communications Ltd (EADS Company),4700,11-Mar-2007
95 E,active,SES 12,Eurostar-3000EOR,SES S.A.,5300,4-Jun-2018
96 E,active,Express 103,Express-1000,Russian Satellite Communications Company,2280,31-Jul-2020
97 E,active,GSAT 9 (South Asia Satellite),I-2K (I-2000) Bus,Indian National Satellite (INSAT),2195,5-May-2017
98 E,active,Thuraya 3,BSS-702,Thuraya Telecommunications Co.,5250,15-Jan-2008
98 E,active,Chinasat 11,DFH-4 Bus,China Satellite Communications Co. Ltd.(China Satcom),5100,1-May-2013
101 E,active,AsiaSat 5,LS-1300SX,Asia Satellite Telecommunications Co. Ltd.,3760,31-Jul-2009
101 E,retired,"ChinaSat 9A (Zhongxing 9A, ZX 9A, Sinosat 4, Xinnuo 4)",DFH-4 Bus,China Satellite Communications Co. Ltd.(China Satcom),5100,18-Jun-2017
101 E,active,"ChinaSat 9B (Zhongxing 9B, ZX 9B)",DFH-4E Bus,China Satellite Communications Co. Ltd.(China Satcom),5500,9-Sep-2021
101 E,active,Tiantong 1 01 (Tiantong-1 01),DFH-4 Bus,China Telecom,5400,5-Aug-2016
103 E,active,Express AMU3,Express-1000,Russian Satellite Communications Company,2150,13-Dec-2021
103 E,deorbited,Kazsat 1,Yakhta,JSC KazSat,1092,17-Jun-2006
103 E,retired,Express A2 (Ekspress 6A),MSS-2500-GSO,Russian Satellite Communications Company,2500,12-Mar-2000
103 E,retired,Express AM3 (Ekspress AM3),MSS-2500-GSO,Russian Satellite Communications Company,2600,24-Jun-2005
105 E,disabled,SilkWave 1 (NYBBSat 1),BSS-702MP,CMMB Vision Holdings Limited,6000,31-Dec-2023
105 E,active,Asiastar 1 (Asiastar),Eurostar-2000+,CMMB Vision Holdings Limited,2775,21-Mar-2000
105 E,active,Asiasat 7 (AsiaSat 5C),LS-1300,Asia Satellite Telecommunications Co. Ltd.,3760,25-Nov-2011
105 E,active,Asiasat 8 (Amos 7),LS-1300,Asia Satellite Telecommunications Co. Ltd.,4535,5-Aug-2014
108 E,active,"SES 7 (Protostar 2, Indostar 2, Galaxy 8iR, Cakrawarta 2, Protostar II)",HS-601HP,SES S.A.,3905,16-May-2009
108 E,active,SES 9,BSS-702HP,SES S.A.,5271,28-Feb-2016
108 E,retired,Cakrawarta 1 (INDOSTAR 1),GEOStar-1,PT Citra Sari Makmur (CSM),1385,12-Nov-1997
108 E,active,Telkom 4 (Merah Putih),LS-1300,PT Telekomunikasi Indonesia Tbk,5800,7-Aug-2018
109 E,deorbited,"Inmarsat-2F4 (Inmarsat 2F4, I2F4)",Eurostar-1000,Inmarsat plc,1389,15-Apr-1992
110 E,active,BSat 3B,A2100A,Broadcasting Satellite System Corp.,2060,28-Oct-2010
110 E,active,"ChinaSat 10 (Zhongxing-10, ZX 10, Sinosat 5, Xinnuo 5, SupremeSat)",DFH-4 Bus,China Satellite Communications Co. Ltd.(China Satcom),5100,20-Jun-2011
110 E,active,BSat 3C (JCSat 110R),A2100A,Broadcasting Satellite System Corp.,2910,6-Aug-2011 - 6-Aug-2011
110 E,active,"Chinasat 16 (Zhongxing 16, ZX-16, Shijian 13, SJ-13)",DFH-4 Bus,China Satellite Communications Co. Ltd.(China Satcom),5200,12-Apr-2017
110 E,retired,BSat 3A,A2100A,Broadcasting Satellite System Corp.,1967,14-Aug-2007
110 E,active,JCSat 110A (JCSat 15),LS-1300,SKY Perfect JSAT Corporation,3400,20-Dec-2016
110 E,active,Bsat 4A,LS-1300,Broadcasting Satellite System Corp.,3520,29-Sep-2017
110 E,active,Bsat 4B,LS-1300,Broadcasting Satellite System Corp.,3530,15-Aug-2020
110 E,active,"ChinaSat 10R (Zhongxing-10R, ZX 10R)",DFH-4E Bus,China Satellite Communications Co. Ltd.(China Satcom),5500,22-Feb-2025
110 E,retired,"Bsat 1A (BSAT 1, B-Sat 1A)",HS-376,Broadcasting Satellite System Corp.,1314,16-Apr-1997
110 E,retired,"N-SAT-110 (Superbird 5, Superbird D, NSAT 110, N-Sat 110, JCSAT 110)",A2100AX,SKY Perfect JSAT Corporation,3531,7-Oct-2000
110 E,deorbited,Bsat 1B (B-Sat 1B),HS-376,Broadcasting Satellite System Corp.,1236,28-Apr-1998
110 E,retired,Bsat 2A (B-Sat 2A),GEOStar-1,Broadcasting Satellite System Corp.,1317,8-Mar-2001
110 E,deorbited,Bsat 2C (B-Sat 2C),GEOStar-1,Broadcasting Satellite System Corp.,1275,11-Jun-2003
113 E,active,Koreasat 5 (Mugungwha 5),Spacebus-4000C1,KT SAT,4465,22-Aug-2006
113 E,retired,Palapa D (Palapa D1),Spacebus-4000B3,PT Indosat Tbk,4100,31-Aug-2009
113 E,active,"Koreasat 5A (Mugungwha 5A, Hayasat)",Spacebus-4000B2,KT SAT,3700,30-Oct-2017
113 E,failed,"Palapa N1 (Nusantara 2, Nusantara Dua)",DFH-4 Bus,PT Pasifik Satelite Nusantara (PSN),5550,30-Dec-2020
113 E,testing,"Telkomsat 113BT (Merah Putih 2, HTS 113BT)",Spacebus-4000B2,PT Telekomunikasi Indonesia Tbk,4000,20-Feb-2024
116 E,active,Koreasat 7 (Mugungwha 7),Spacebus-4000B2,KT SAT,3680,4-May-2017
116 E,disabled,ABS-8,BSS-702SP,ABS,Nan,31-Dec-2018
116 E,moving,Nusantara Lima (Nusantara 5),BSS-702MP,PT Pasifik Satelite Nusantara (PSN),7800,12-Sep-2025
116 E,failed,Chinasat 18 (ZX-18),DFH-4 Bus,China Satellite Communications Co. Ltd.(China Satcom),5500,19-Aug-2019
116 E,active,Chinasat 6E (ZX 6E),DFH-4E Bus,China Satellite Communications Co. Ltd.(China Satcom),5500,9-Nov-2023
116 E,testing,Koreasat 6A (Mugunghwa 6A),Spacebus-4000B2,KT SAT,3500,11-Nov-2024
116 E,retired,"ABS-7 (Koreasat 3, Mugungwa 3)",A2100A,ABS,3500,4-Sep-1999
116 E,active,ChinaSat 6B (ZHONGXING 6B),Spacebus-4000C2,China Satellite Communications Co. Ltd.(China Satcom),4600,6-Jul-2007
118 E,active,Telkom 3S,Spacebus-4000B2,PT Telekomunikasi Indonesia Tbk,3550,14-Feb-2017
118 E,failed,Telkom 3,Express-1000,PT Telekomunikasi Indonesia Tbk,1903,6-Aug-2012
119 E,active,"Thaicom 4 (Ipstar 1, Measat 5)",LS-1300SX,Thaicom Plc.,6505,11-Aug-2005
119 E,active,"Bangabandhu-1 (BD-1, BS-1)",Spacebus-4000B2,Bangladesh Communication Satellite Company Limited (BCSCL),3600,11-May-2018
120 E,active,Asiasat 6 (Thaicom 7),LS-1300,Asia Satellite Telecommunications Co. Ltd.,3700,7-Sep-2014
120 E,retired,Asiasat 2 (Amos 5i),AS-7000,Spacecom Satellite Communications,3460,28-Nov-1995
120 E,deorbited,Thaicom 1A,HS-376L,Thaicom Plc.,1080,18-Dec-1993
122 E,active,Asiasat 9,LS-1300,Asia Satellite Telecommunications Co. Ltd.,6140,28-Sep-2017
123 E,retired,Artemis,GeoBus (Italsat-Bus),Avanti Communications Ltd,3105,12-Jul-2001
124 E,active,JCSat 4B (JCSat 13),A2100AXS,SKY Perfect JSAT Corporation,Nan,15-May-2012
125 E,retired,"APSTAR 9A (ChinaSat 5A, Zhongwei 1, Chinastar 1, ZX-5A)",A2100A,APT Satellite Holdings Ltd.,2984,30-May-1998
125 E,active,Chinasat 6D (ZX 6D),DFH-4E Bus,China Satellite Communications Co. Ltd.(China Satcom),Nan,15-Apr-2022
125 E,active,"Chinasat 26 (Zhongxing 26, ZX-26)",DFH-4E Bus,China Satellite Communications Co. Ltd.(China Satcom),5000,23-Feb-2023
125 E,active,Tiantong 1 02 (Tiantong-1 02),DFH-4 Bus,China Telecom,5400,12-Nov-2020
128 E,active,COMS 1 (Chollian),Eurostar-3000,Korea Aerospace Research Institute (KARI),2460,26-Jun-2010
128 E,active,LAOSat 1 (APStar L),DFH-4 Bus,Laos National Authority for Science and Technology (NAST),5200,20-Nov-2015
128 E,active,JCSat 3A (JCSat 10),A2100AXS,SKY Perfect JSAT Corporation,4050,11-Aug-2006
130 E,active,Chinasat 6C (ZX-6C),DFH-4 Bus,China Satellite Communications Co. Ltd.(China Satcom),Nan,9-Mar-2019
132 E,active,"JCSat 5A (JCSat 9, N-Star D)",A2100AXS,SKY Perfect JSAT Corporation,4400,12-Apr-2006
132 E,active,Vinasat 1,A2100A,Vietnam Posts and Telecommunications Group (VNPT),2637,18-Apr-2008
132 E,active,JCSat RA (JCSat 12),A2100AXS,SKY Perfect JSAT Corporation,4000,21-Aug-2009
132 E,active,Vinasat 2,A2100A,Vietnam Posts and Telecommunications Group (VNPT),2970,15-May-2012
134 E,active,APSTAR 6C,DFH-4 Bus,APT Satellite Holdings Ltd.,Nan,4-May-2018
134 E,active,APSTAR 6D (Shenzhen Star),DFH-4E Bus,APT Satellite Holdings Ltd.,5550,9-Jul-2020
134 E,active,APSTAR 6E (MPSat 3),DFH-3E Bus,APT Satellite Holdings Ltd.,4300,13-Jan-2023
136 E,active,JCSat 17,A2100A,SKY Perfect JSAT Corporation,5857,18-Feb-2020
136 E,retired,N-Star-C,GEOStar-2,SKY Perfect JSAT Corporation,1620,5-Jul-2002
136 E,retired,JCSat 6 (JCSat 4A),HS-601,SKY Perfect JSAT Corporation,2900,16-Feb-1999
138 E,retired,"Telstar 18 (Apstar 5, Apstar V)",LS-1300,Telesat Canada Ltd.,4640,29-Jun-2004
138 E,active,"Telstar 18V (Telstar 18 VANTAGE, APStar 5C)",LS-1300,Telesat Canada Ltd.,7011,10-Sep-2018
140 E,active,"NBN-Co 1A (Sky Muster 1, SkyMuster I)",LS-1300,NBN Co Limited,6440,30-Sep-2015
140 E,retired,Superbird A1 (Superbird A),LS-1300,SKY Perfect JSAT Corporation,2489,1-Dec-1992
140 E,active,"Express AM5 (Ekspress AM5, EAM5)",Express-2000,Russian Satellite Communications Company,3400,26-Dec-2013
140 E,active,Express AT2,Express-1000K,Russian Satellite Communications Company,1427,16-Mar-2014
142 E,active,APSTAR 9 (MySat 1),DFH-4 Bus,APT Satellite Holdings Ltd.,5200,17-Oct-2015
142 E,deorbited,ST 1,Eurostar-2000+,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,3255,25-Aug-1998
143 E,retired,Express AM33 (Ekspress AM33),MSS-2500-GSO,Russian Satellite Communications Company,2600,28-Jan-2008
143 E,active,"Inmarsat-4F2 (Inmarsat 4-F2, I4F2, IND-W)",Eurostar-3000GM,Inmarsat plc,5958,8-Nov-2005
143 E,active,"Hylas 3 (EDRS-C, Condosat)",SmallGEO (Luxor) bus,Avanti Communications Ltd,3185,6-Aug-2019
144 E,active,Superbird C2 (Superbird 7),DS2000,SKY Perfect JSAT Corporation,4820,14-Aug-2008
144 E,active,JCSat 16,LS-1300,SKY Perfect JSAT Corporation,4600,14-Aug-2016
145 E,active,"NBN-Co 1B (Sky Muster 2, SkyMuster II)",LS-1300,NBN Co Limited,6405,5-Oct-2016
145 E,active,Express AMU7,Express-1000,Russian Satellite Communications Company,1980,13-Dec-2021
145 E,failed,Express MD2 (Ekspress MD2),Khrunichev bus,Russian Satellite Communications Company,1140,6-Aug-2012
145 E,deorbited,"Express A4 (Express A1R, Ekspress A1R, Express 41R, Express 41P, Atlantic Bird 14)",MSS-2500-GSO,Russian Satellite Communications Company,2500,10-Jun-2002
146 E,deorbited,Asiasat 3S,HS-601HP,Asia Satellite Telecommunications Co. Ltd.,3480,21-Mar-1999
146 E,deorbited,"PSN 5 (PSN V, ChinaSat 5B, XINNUO 1, Intelsat APR1, Sinosat 1 )",Spacebus-3000,PT Pasifik Satelite Nusantara (PSN),2840,18-Jul-1998
146 E,retired,Palapa C2,HS-601,PT Indosat Tbk,3014,15-May-1996
146 E,active,"Nusantara Satu (PSN VI, PSN 6, Nusantara 1)",LS-1300,PT Pasifik Satelite Nusantara (PSN),4100,22-Feb-2019
146 E,active,"Nusantara Tiga (SATRIA, Nusantara 3)",Spacebus NEO,PT Pasifik Satelite Nusantara (PSN),4600,18-Jun-2023
148 E,moving,"Paksat-MM (PakSat Multi-Mission Satelite 1, Asiasat 4)",HS-601HP,Pakistan Ministry of Information Technology and Telecommunications,4137,12-Apr-2003
148 E,retired,Measat 2 (Africasat 2),HS-376,MEASAT Satellite Systems Sdn. Bhd.,1450,14-Nov-1996
150 E,retired,JCSat 1B (JCSat 5),HS-601,SKY Perfect JSAT Corporation,2982,12-Feb-1997
150 E,active,BRIsat,LS-1300,PT. Bank Rakyat Indonesia (Persero) Tbk.,3540,16-Jun-2016
150 E,active,"JCSat 1C (Kacific-1, JCSat 18, N-SAT-Y12-150E)",BSS-702,SKY Perfect JSAT Corporation,6800,16-Dec-2019
152 E,active,Optus D1,GEOStar-2,Optus Communications,2299,13-Oct-2006
154 E,active,JCSat 2B (JCSat 14),LS-1300,SKY Perfect JSAT Corporation,4696,6-May-2016
156 E,active,Optus C1 (Defence C1),LS-1300,Optus Communications/Australian Ministry of Defence,4725,12-Jun-2003
156 E,active,Optus D3 (Optus-D3+MEV-01),GEOStar-2,Optus Communications,2500,21-Aug-2009
156 E,active,Optus 10,LS-1300,Optus Communications,3270,11-Sep-2014
157 E,retired,"Intelsat 1R (IS 1R, PAS 1R)",BSS-702,Intelsat,4793,15-Nov-2000
157 E,deorbited,"Intelsat 706 (IS-706, Intelsat 7-F6)",LS-1300,Intelsat,4180,17-May-1995
157 E,retired,Telkom 2,GEOStar-2,PT Telekomunikasi Indonesia Tbk,1975,16-Nov-2005
158 E,deorbited,"Superbird 3 (Superbird A3, Superbird C)",HS-601,SKY Perfect JSAT Corporation,3130,28-Jul-1997
159 E,active,"ABS-6 (ABS 1, LMI 1, Condosat 1)",A2100AX,ABS,2894,26-Sep-1999
160 E,retired,Optus D2,GEOStar-2,Optus Communications,2350,5-Oct-2007
160 E,active,Measat 3A (Measat 1R),GEOStar-2,MEASAT Satellite Systems Sdn. Bhd.,2365,21-Jun-2009
160 E,active,Koreasat 6 (Olleh 1),GEOStar-2,KT SAT,2850,29-Dec-2010
162 E,active,"Superbird B3 (Superbird 8, DSN-1, Kirameki 1)",DS2000,SKY Perfect JSAT Corporation,5348,5-Apr-2018
162 E,retired,Superbird B2 (Superbird 4),BSS-601HP,SKY Perfect JSAT Corporation,4051,18-Feb-2000
163 E,retired,APSTAR 6 (APSTAR 5B),Spacebus-4000C2,APT Satellite Holdings Ltd.,4680,12-Apr-2005
163 E,active,Yamal 202 (Yamal 200 KA-2),USP Bus,Gazprom Space Systems,1320,24-Nov-2003
163 E,retired,"Chinasat 5E (CZ-5E, Apstar 1)",HS-376,China Satellite Communications Co. Ltd.(China Satcom),1400,21-Jul-1994
163 E,active,"Chinasat 19 (Zhongxing 19, ZX-19)",DFH-4E Bus,China Satellite Communications Co. Ltd.(China Satcom),5000,5-Nov-2022
164 E,retired,Optus B3 (Aussat B3),HS-601,Optus Communications,2858,28-Aug-1994
166 E,retired,"Intelsat 5 (PAS 5, Arabsat 2C, Badr C)",HS-601HP,Intelsat,3600,28-Aug-1997
166 E,active,Intelsat 19 (IS-19),LS-1300,Intelsat,5600,31-May-2012
167 E,active,"Luch 5A (Loutch-5A, Луч-5А)",Express-1000A,Roscosmos (Russian Federal Space Agency),1140,11-Dec-2011
169 E,active,Horizons 3E,BSS-702MP,SKY Perfect JSAT Corporation/Intelsat,6441,25-Sep-2018
169 E,deorbited,"Intelsat 8 (IS 8, PAS 8)",LS-1300,Intelsat,3592,4-Nov-1998
169 E,deorbited,"Intelsat 2 (IS 2, PAS 2)",HS-601,Intelsat,2920,8-Jul-1994
169 E,retired,Intelsat 805 (IS-805),AS-7000,Intelsat,3420,18-Jun-1998
172 E,active,Eutelsat 172B,Eurostar-3000EOR,Eutelsat Communications S.A.,3551,1-Jun-2017
174 E,active,"Eutelsat 174A (ES-174A, ES-172A, AMC 23, Worldsat 3, AMC 13, GE 2i, GE 23)",Spacebus-4000C3,Eutelsat Communications S.A.,5000,29-Dec-2005
176 E,active,"NSS 11 (AAP 1, GE 1A, Worldsat 1)",A2100AX,SES S.A.,3582,2-Oct-2000
178 E,retired,"Intelsat 602 (IS-602, INTELSAT VI F-2)",HS-389,Intelsat,4215,27-Oct-1989
178 E,active,"Inmarsat-4F1 (Inmarsat 4-F1, I4F1, PAC-W)",Eurostar-3000GM,Inmarsat plc,5959,11-Mar-2005
180,active,Intelsat 18 (IS-18),GEOStar-2,Intelsat,3200,6-Oct-2011
180,active,"Inmarsat GX3 (Inmarsat 5F3, I5-POR, GX3)",BSS-702HP,Inmarsat plc,6070,28-Aug-2015
180,deorbited,Galaxy 10R (G-10R),HS-601HP,Intelsat,3475,24-Jan-2000
177 W,active,NSS 9,GEOStar-2,SES S.A.,2238,12-Feb-2009
177 W,active,Yamal 300K,Express-1000,Gazprom Space Systems,1640,2-Nov-2012
169 W,retired,NSS 6,A2100AX,SES S.A.,4575,17-Dec-2002
164 W,retired,Thuraya 1,BSS-702,Thuraya Telecommunications Co.,5108,21-Oct-2000
150 W,moving,"Inmarsat-3F3 (Inmarsat 3F3, I3F3, POR)",AS-4000,Inmarsat plc,2040,18-Dec-1996
150 W,active,"Horizons 1 (Galaxy 13, Linkstar 4, Galaxy XIII)",BSS-601HP,SKY Perfect JSAT Corporation/Intelsat,4060,1-Oct-2003
149 W,deorbited,"Galaxy 25 (G-25, Intelsat Americas 5 (IA 5), Telstar 5. Moving to 66 East orbital location)",LS-1300,Intelsat,3515,24-May-1997
149 W,deorbited,"Inmarsat-2F3 (Inmarsat 2F3, I2F3)",Eurostar-1000,Inmarsat plc,1389,16-Dec-1991
148 W,deorbited,"Echostar 5 (Ciel-1, Sky 1A, MCI 1)",LS-1300,EchoStar Corporation,3602,23-Sep-1999
148 W,failed,Echostar 2,AS-7000,EchoStar Corporation,2885,11-Sep-1996
144 W,retired,"Directv 1 (DBS 1, DBS8402)",HS-601,"DirecTV, Inc.",2923,18-Dec-1993
143 W,retired,"Hispasat 143W-1 (H143W-1, Hispasat 30W-4, H30W-4, Hispasat 1D)",Spacebus-3000B2,Hispasat,3288,18-Sep-2002
142 W,deorbited,"Inmarsat-2F1 (Inmarsat 2F1, I2F1)",Eurostar-1000,Inmarsat plc,1382,30-Oct-1990
139 W,retired,Spaceway 2 (Spaceway F2),BSS-702,"DirecTV, Inc.",6116,16-Nov-2005
139 W,deorbited,Spaceway 1 (Spaceway F1),BSS-702,"DirecTV, Inc.",6080,26-Apr-2005
139 W,active,"Eutelsat 139 West A (E139WA, E12WD, E31B, E7A, W3A, Eutelsat W3A)",Eurostar-3000S,Eutelsat Communications S.A.,4300,15-Mar-2004
139 W,active,"AMC 6 (GE 6, Rainbow 2)",A2100AX,SES S.A.,3901,22-Oct-2000
139 W,active,SES 22,Spacebus-4000B2,SES S.A.,3500,29-Jun-2022
137 W,active,Intelsat 905 (IS-905),LS-1300,Intelsat,4723,5-Jun-2002
135 W,retired,AMC 10 (GE 10),A2100A,SES S.A.,2315,5-Feb-2004
135 W,deorbited,AMC 4 (GE 4),A2100AX,SES S.A.,3909,13-Nov-1999
135 W,retired,AMC 7 (GE 7),A2100A,SES S.A.,1935,14-Sep-2000
135 W,retired,"AMC 8 (GE 8, Aurora 3, Aurora III)",A2100A,SES S.A.,2015,19-Dec-2000
135 W,active,SES 19,GEOStar-3,SES S.A.,1280,18-Mar-2023
133 W,active,Galaxy 33 (Galaxy-15R),GEOStar-3,Intelsat,3654,8-Oct-2022
133 W,failed,"Galaxy 15 (G-15, Galaxy 1RR)",GEOStar-2,Intelsat,2033,13-Oct-2005
133 W,retired,"Eutelsat 133 West A (E133WA, Eutelsat 33C, E33C, Eutelsat 28A, E28A, Eurobird 1, Eutelsat W1R, Europesat 1)",Spacebus-3000B2,Eutelsat Communications S.A.,2950,8-Mar-2001
131 W,deorbited,AMC 1 (GE 1),A2100A,SES S.A.,2783,8-Sep-1996
131 W,active,SES 21,BSS-702SP,SES S.A.,1638,4-Oct-2022
129 W,active,SES 15,BSS-702SP,SES S.A.,2340,18-May-2017
129 W,active,Galaxy 34 (Galaxy 12R),GEOStar-3,Intelsat,3695,8-Oct-2022
129 W,retired,Ciel 2 (Ciel II),Spacebus-4000C4,Ciel Satellite Group & Echostar,5561,10-Dec-2008
129 W,retired,"Galaxy 12 (Galaxy XII, G-12)",GEOStar-2,Intelsat,1760,9-Apr-2003
127 W,active,Galaxy 37 (Horizons 4),LS-1300,Intelsat,5063,3-Aug-2023
125 W,active,Galaxy 30 (Galaxy 14R),GEOStar-2,Intelsat,3298,15-Aug-2020
125 W,active,AMC 21,GEOStar-2,SES S.A.,2473,14-Aug-2008
123 W,active,Galaxy 18 (G-18),LS-1300,Intelsat,4642,21-May-2008
121 W,retired,SBS 6,HS-393,Intelsat,2478,12-Oct-1990
121 W,retired,"Galaxy 23 (G-23, IA-13, Telstar 13, EchoStar 9)",LS-1300,Dish Network Corporation/Intelsat,4737,8-Aug-2003
121 W,active,"Galaxy 31 (Galaxy 23R, PACSTAR-L4)",LS-1300,Intelsat,3300,12-Nov-2022
119 W,deorbited,"Directv 7S (DTV 7S, DBS 7S, USABSS-18)",LS-1300,"DirecTV, Inc.",5483,4-May-2004
119 W,retired,Echostar 7,A2100AX,EchoStar Corporation,4172,21-Feb-2002
119 W,active,Anik F3,Eurostar-3000S,Telesat Canada Ltd.,4715,9-Apr-2007
119 W,active,Directv 8 (AT&T T8),LS-1300,AT&T,3711,22-May-2005
119 W,active,Echostar 14 (Echostar XIV),LS-1300,EchoStar Corporation,6379,21-Mar-2010
119 W,active,Echostar 15,LS-1300,EchoStar Corporation,5619,10-Jul-2010
117 W,active,"Eutelsat 117 West A (E117WA, Satmex 8)",LS-1300,Eutelsat Communications S.A.,5500,27-Mar-2013
117 W,active,"Eutelsat 117 West B (E117WB, Satmex 9)",BSS-702SP,Eutelsat Communications S.A.,1800,14-Jun-2016
116 W,active,"Sirius XM10 (SXM10, SXM-10)",LS-1300,XM Satellite Radio Holdings Inc./Sirius Satellite Radio,7000,7-Jun-2025
116 W,active,Sirius FM-6 (Radiosat 6),LS-1300,XM Satellite Radio Holdings Inc./Sirius Satellite Radio,6020,25-Oct-2013
