position,status,name,model,operator,launch_place,launch_data
115 W,active,"Sirius XM 5 (SXM-5, XM-5)",LS-1300,XM Satellite Radio Holdings Inc./Sirius Satellite Radio,5984,14-Oct-2010
115 W,active,"ViaSat 1 (VS-1, VIASAT-IOM)",LS-1300,ViaSat Inc,6740,19-Oct-2011
115 W,active,MexSat Bicentenario (Mexsat 3),GEOStar-2,Mexican Secretary of Communication and Transportation (SCT),2935,19-Dec-2012
115 W,active,"Eutelsat 115 West B (E115WB, Satmex 7)",BSS-702SP,Eutelsat Communications S.A.,2205,2-Mar-2015
115 W,retired,"Eutelsat 115 West A (E115WA, Satmex 5)",HS-601HP,Eutelsat Communications S.A.,4135,5-Dec-1998
115 W,retired,Solidaridad 2 (Satmex 4),HS-601,Satellites Mexicanos S.A. de C.V. (Eutelsat),2791,8-Oct-1994
113 W,failed,"Eutelsat 113 West A (E113WA, Satmex 6)",LS-1300SX,Eutelsat Communications S.A.,5456,27-May-2006
113 W,failed,"MexSat 1 (Mexsat Centenario, MexSat-G1)",BSS-702HP,Mexican Secretary of Communication and Transportation (SCT),5323,16-May-2015
113 W,active,MexSat 2 (Morelos 3),BSS-702HP,Mexican Secretary of Communication and Transportation (SCT),5800,2-Oct-2015
111 W,active,"Echostar T1 (TerreStar 1, CANSAT-24)",LS-1300S,EchoStar Corporation,6910,1-Jul-2009
111 W,active,"Wildblue 1 (KaStar 1, iSky 1, WB-1)",LS-1300,ViaSat Inc,4735,8-Dec-2006
111 W,active,"Anik F4 (AMC 11, GE 11)",A2100A,Telesat Canada Ltd.,2340,19-May-2004
111 W,active,Anik F2 (CANSAT KA-4),BSS-702,Telesat Canada Ltd.,5950,18-Jul-2004
110 W,active,Echostar 10 (Echostar X),A2100AXS,EchoStar Corporation,4333,15-Feb-2006
110 W,active,"Directv 5 (AT&T T5, Tempo 1)",LS-1300,AT&T,3640,7-May-2002
110 W,active,Echostar 11 (Echostar XI),LS-1300,EchoStar Corporation,5511,16-Jul-2008
110 W,active,Echostar 23 (Echostar XXIII),LS-1300,EchoStar Corporation,5500,16-Mar-2017
110 W,retired,Directv 6 (Tempo 2),LS-1300,"DirecTV, Inc.",3640,8-Mar-1997
109 W,retired,Anik F1,BSS-702,Telesat Canada Ltd.,4710,21-Nov-2000
109 W,retired,Telstar 12 (ORION 2),LS-1300,Telesat Canada Ltd.,3878,19-Oct-1999
107 W,active,Anik F1R,Eurostar-3000S,Telesat Canada Ltd.,4500,9-Sep-2005
107 W,disabled,Skyterra 2 (MSV 2),BSS-702,LightSquared / Skyterra Communications Inc.,5639,30-Dec-2016
107 W,active,"Echostar 17 (Jupiter 1, Spaceway 4)",LS-1300,EchoStar Corporation,6100,5-Jul-2012
107 W,active,Anik G1,LS-1300,Telesat Canada Ltd.,4905,15-Apr-2013
107 W,retired,AMSC 1 (MSAT 2),HS-601,LightSquared / Skyterra Communications Inc.,2996,7-Apr-1995
105 W,active,AMC 15,A2100AXS,SES S.A.,4021,15-Oct-2004
105 W,active,SES 11 (Echostar 105),Eurostar-3000,SES S.A.,5400,11-Oct-2017
104 W,moving,"Hylas 1 (HylasOne, Hylas One)",I-2K (I-2000) Bus,Avanti Communications Ltd,2570,26-Nov-2010
103 W,active,"Directv 12 (AT&T T12, RB-2A)",BSS-702,AT&T,6060,29-Dec-2009
103 W,active,"SES 3 (OS-2, AMC 1R)",GEOStar-2,SES S.A.,3112,15-Jul-2011
103 W,active,Directv 15 (AT&T T15),Eurostar-3000,AT&T,6300,27-May-2015
103 W,active,SES 20,BSS-702SP,SES S.A.,1369,4-Oct-2022
103 W,active,SES 18,GEOStar-3,SES S.A.,1139,18-Mar-2023
103 W,active,Directv 10 (AT&T T10),BSS-702,AT&T,5900,7-Jul-2007
101 W,deorbited,Directv 4S (USABSS-13),BSS-601HP,"DirecTV, Inc.",4260,27-Nov-2001
101 W,active,"Directv 9S (AT&T T9S, USABSS-21)",LS-1300,AT&T,5535,13-Oct-2006
101 W,active,"SES 1 (AMC 4R, AMC 4R, AMC 5RR, OS-1)",GEOStar-2,SES S.A.,3170,24-Apr-2010
101 W,active,Skyterra 1,BSS-702,LightSquared / Skyterra Communications Inc.,5360,14-Nov-2010
101 W,active,Directv 16 (AT&T T16),Eurostar-3000,AT&T,6350,20-Jun-2019
99 W,active,Galaxy 16 (G-16),LS-1300,Intelsat,4640,18-Aug-2006
99 W,active,Directv 11 (AT&T T11),BSS-702,AT&T,5923,19-Mar-2008
99 W,active,"Directv 14 (AT&T T14, Directv BSS-99W, RB-1)",LS-1300,AT&T,6502,6-Dec-2014
98 W,active,"Inmarsat-4F3 (Inmarsat 4-F3, I4F3, PAC-E)",Eurostar-3000GM,Inmarsat plc,5960,18-Aug-2008
98 W,retired,"Inmarsat-2F2 (Inmarsat 2F2, I2F2)",Eurostar-1000,Inmarsat plc,1382,8-Mar-1991
97 W,active,"Galaxy 19 (G-19, Intelsat Americas-9, IA-9)",LS-1300,Intelsat,4692,24-Sep-2008
97 W,active,"Echostar 19 (Jupiter 2, Spaceway 5, Echostar 97)",LS-1300,EchoStar Corporation,6637,18-Dec-2016
96 W,deorbited,"Echostar 6 (Sky 1B, MCI 2)",LS-1300,EchoStar Corporation,3700,14-Jul-2000
95 W,active,Galaxy 3C (G-3C),BSS-702,Intelsat,4860,15-Jun-2002
95 W,active,"Jupiter 3 (Echostar XXIV, Echostar 24, HNS 95W)",LS-1300,EchoStar Corporation,9200,29-Jul-2023
95 W,retired,Spaceway 3 (Spaceway F3),BSS-702,EchoStar Corporation,6075,14-Aug-2007
95 W,active,"Intelsat 30 (ISDLA-1, DLA 1)",LS-1300,Intelsat,6300,16-Oct-2014
95 W,active,Intelsat 31 (DLA 2),LS-1300,Intelsat,6450,9-Jun-2016
93 W,active,"Echostar G1 (ICO G1, DBSD G1)",LS-1300,EchoStar Corporation,6634,14-Apr-2008
93 W,retired,Galaxy 11 (G-11),BSS-702,Intelsat,4488,21-Jan-1999
93 W,deorbited,Skynet 4D,ECS Bus,Paradigm Secure Communications Ltd (EADS Company),1500,10-Jan-1998
93 W,active,Galaxy 35 (Galaxy 3CR),LS-1300,Intelsat,3150,13-Dec-2022
92 W,retired,Brasilsat B4,HS-376W,Star One (EMBRATEL),2495,17-Aug-2000
92 W,retired,Star One C1,Spacebus-3000B3,Star One (EMBRATEL),4100,14-Nov-2007
91 W,retired,"Nimiq 4i (Directv 2, DBS 2)",HS-601,Telesat Canada Ltd.,2923,3-Aug-1994
91 W,active,Nimiq 6,LS-1300,Telesat Canada Ltd.,4745,17-May-2012
91 W,active,Intelsat 40E (TEMPO),LS-1300,Intelsat,Nan,7-Apr-2023
91 W,active,Galaxy 32 (Galaxy 17R),LS-1300,Intelsat,3300,12-Nov-2022
90 W,deorbited,Echostar 3,A2100AX,EchoStar Corporation,3674,5-Oct-1997
89 W,active,"Galaxy 28 (G-28, Telstar 8, Intelsat Americas 8, IA 8)",LS-1300S,Intelsat,5493,23-Jun-2005
89 W,testing,Viasat 3 Americas (VS-3 Americas),BSS-702HP,ViaSat Inc,6400,1-May-2023
89 W,active,Galaxy 36 (Galaxy 28R),LS-1300,Intelsat,3150,13-Dec-2022
87 W,deorbited,Astra 3A,BSS-376HP,SES S.A.,1500,29-Mar-2002
87 W,active,"SES 2 (AMC 5R, AMC 26)",GEOStar-2,SES S.A.,3200,21-Sep-2011
87 W,active,"Tupac Katari 1 (TKSat 1, Tupac Katari Sat 1)",DFH-4 Bus,Bolivian Space Agency (ABE),5100,20-Dec-2013
86 W,active,Sirius FM-5 (Radiosat 5),LS-1300,XM Satellite Radio Holdings Inc./Sirius Satellite Radio,5820,30-Jun-2009
86 W,retired,Nimiq 2 (Telesat-DTH 2),A2100AX,Telesat Canada Ltd.,3600,29-Dec-2002
86 W,retired,Nimiq 1 (Telesat-DTH 1),A2100AX,Telesat Canada Ltd.,3600,20-May-1999
86 W,retired,"Echostar 12 (Rainbow 1, Cablevision 1)",A2100AXS,EchoStar Corporation,4328,17-Jul-2003
85 W,retired,AMC 2 (GE 2),A2100A,SES S.A.,2648,30-Jan-1997
85 W,retired,AMC 16 (GE 16),A2100AXS,SES S.A.,4065,17-Dec-2004
85 W,active,Galaxy 17 (G-17),Spacebus-3000B3,Intelsat,4100,4-May-2007
85 W,failed,Sirius XM7 (SXM-7),LS-1300,XM Satellite Radio Holdings Inc./Sirius Satellite Radio,7000,13-Dec-2020
85 W,active,Sirius XM8 (SXM-8),LS-1300,XM Satellite Radio Holdings Inc./Sirius Satellite Radio,7000,6-Jun-2021
85 W,active,"Sirius XM9 (SXM9, SXM-9)",LS-1300,XM Satellite Radio Holdings Inc./Sirius Satellite Radio,7000,5-Dec-2024
85 W,active,XM 3 (XM Rhythm),BSS-702,XM Satellite Radio Holdings Inc./Sirius Satellite Radio,4703,1-Mar-2005
84 W,retired,"Hispasat 84W-1 (H84W-1, Hispasat 1C, DFS 3)",Spacebus-3000B2,Hispasat,3112,4-Feb-2000
84 W,active,"Star One D1 (Hispasat 84W-2, H84W-2)",LS-1300,Star One (EMBRATEL),6433,20-Dec-2016
83 W,active,"Nuview Alpha (Anuvu Alpha, AstranisAero West)",MicroGEO,Astranis Space Technologies Corp.,400,29-Dec-2024
83 W,active,"Nuview Bravo (Anuvu Bravo, AstranisAero East)",MicroGEO,Astranis Space Technologies Corp.,400,29-Dec-2024
83 W,deorbited,AMC 9,Spacebus-3000B3,SES S.A.,4100,7-Jun-2003
83 W,retired,AMC 18 (GE 18),A2100A,SES S.A.,2081,8-Dec-2006
82 W,retired,"Nimiq 3 (DirecTV-3, DBS-3, Nimiq 2i)",HS-601,Telesat Canada Ltd.,2923,10-Jul-1995
82 W,active,Nimiq 4,Eurostar-3000S,Telesat Canada Ltd.,4850,20-Sep-2008
81 W,deorbited,"AMC 5 (GE 5, Nahuel 1B)",Spacebus-2000,SES S.A.,1698,28-Oct-1998
81 W,deorbited,"Intelsat 3R (IS 3R, PAS 3R)",HS-601,Intelsat,2920,12-Jan-1996
81 W,deorbited,Galaxy 9 (G-9),HS-376,Intelsat,1209,23-May-1996
81 W,active,ARSAT 2,ARSat-Bus,ARSAT (Empresa Argentina de Soluciones Satelitales Sociedad Anonima),2900,30-Sep-2015
81 W,planned,ARSAT SG1 (ARSAT 3),ARSat-Bus,ARSAT (Empresa Argentina de Soluciones Satelitales Sociedad Anonima),2000,30-Dec-2025
80 W,deorbited,"Intelsat 603 (IS-603, Intelsar 6 III, Intelsat 6 3)",HS-389,Intelsat,4215,14-Mar-1990
79 W,deorbited,SatCom C3,AS-3000,SES S.A.,1169,10-Sep-1992
79 W,active,"Sky-Mexico 1 (RB-2, SKYM-1, DIRECTV KU-79W)",GEOStar-2,"DirecTV, Inc.",2475,27-May-2015
78 W,deorbited,Venesat 1 (Simon Bolivar 1),DFH-4 Bus,Venesat,5049,29-Oct-2008
77 W,deorbited,Galaxy 4R (G-4R),HS-601HP,Intelsat,3716,19-Apr-2000
77 W,active,QuetzSat 1,LS-1300,SES S.A.,5514,29-Sep-2011
77 W,retired,Echostar 1 (USABSS-16),AS-7000,EchoStar Corporation,3287,28-Dec-1995
77 W,deorbited,Echostar 8,LS-1300,EchoStar Corporation,4660,21-Aug-2002
77 W,retired,Echostar 4,A2100AX,EchoStar Corporation,3478,7-Sep-1998
76 W,retired,XM 4 (XM Blues),BSS-702,XM Satellite Radio Holdings Inc./Sirius Satellite Radio,5193,30-Oct-2006
76 W,active,"Intelsat 16 (IS-16, PAS-11R)",GEOStar-2,Intelsat,2525,12-Feb-2010
75 W,active,Star One C3,GEOStar-2,Star One (EMBRATEL),3225,10-Nov-2012
75 W,active,SGDC 1,Spacebus-4000C4,Visiona Tecnologia Espacial S.A.,5735,4-May-2017
74 W,active,"Hispasat 74W-1 (Amazonas 4, AMZ4, Amazonas 4A)",GEOStar-2,Hispasat,3000,22-Mar-2014
74 W,active,Horizons 2,GEOStar-2,SKY Perfect JSAT Corporation/Intelsat,2304,21-Dec-2007
73 W,retired,Astra 1D,HS-601,SES S.A.,2924,1-Nov-1994
73 W,active,Nimiq 5 (EchoStar-72W),LS-1300,Telesat Canada Ltd.,4745,18-Sep-2009
72 W,active,Hylas 2,GEOStar-2,Avanti Communications Ltd,3311,2-Aug-2012
72 W,active,ARSAT 1,ARSat-Bus,ARSAT (Empresa Argentina de Soluciones Satelitales Sociedad Anonima),2900,16-Oct-2014
72 W,retired,Nahuel 1,Spacebus-2000,ARSAT (Empresa Argentina de Soluciones Satelitales Sociedad Anonima),1790,30-Jan-1997
72 W,retired,Astra 2C,BSS-601HP,SES S.A.,3643,16-Jun-2001
72 W,active,"AMC 3 (GE 3, Eagle-1)",A2100A,SES S.A.,2845,4-Sep-1997
70 W,active,"Star One C4 (Hispasat 70W-1, H70W-1)",LS-1300,Star One (EMBRATEL),5565,15-Jul-2015
70 W,active,Viasat 2 (VS-2),BSS-702HP,ViaSat Inc,6418,1-Jun-2017
70 W,active,Star One D2,LS-1300,Star One (EMBRATEL),6190,30-Jul-2021
68 W,retired,Brasilsat B1,HS-376W,Star One (EMBRATEL),1774,11-Aug-1994
68 W,retired,Brasilsat B2,HS-376W,Star One (EMBRATEL),1780,28-Mar-1995
67 W,retired,Astra 1H,BSS-601HP,SES S.A.,3690,18-Jun-1999
67 W,active,SES 10 (Simón Bolivar 2),Eurostar-3000,SES S.A.,5300,30-Mar-2017
67 W,active,SES 17,Spacebus NEO,SES S.A.,6411,23-Oct-2021
65 W,active,Eutelsat 65 West A (E65WA),LS-1300,Eutelsat Communications S.A.,6707,9-Mar-2016
65 W,retired,Brasilsat B3,HS-376W,Star One (EMBRATEL),1780,4-Feb-1998
65 W,active,Star One C2,Spacebus-3000B3,Star One (EMBRATEL),4100,18-Apr-2008
63 W,retired,Telstar 14 (Estrela do Sul 1),LS-1300,Telesat Canada Ltd.,4694,11-Jan-2004
63 W,active,Telstar 19V (Telstar 19 VANTAGE),LS-1300,Telesat Canada Ltd.,7075,22-Jul-2018
63 W,active,"Telstar 14R (Estrela do Sul 2, EDS 2)",LS-1300,Telesat Canada Ltd.,5000,20-May-2011
61 W,active,Amazonas 2 (AMZ2),Eurostar-3000,Hispasat,5460,1-Oct-2009
61 W,active,Amazonas 3 (AMZ3),LS-1300,Hispasat,6265,7-Feb-2013
61 W,active,Echostar 16 (Echostar XVI),LS-1300,EchoStar Corporation,6650,20-Nov-2012
61 W,active,Amazonas 5 (AMZ5),LS-1300,Hispasat,5900,11-Sep-2017
61 W,active,"Echostar 18 (EchoStar XVIII, USABSS-41)",LS-1300,EchoStar Corporation,6000,16-Jun-2016
61 W,active,"Amazonas Nexus (Amazonas Nexus 6, AMZ-NX, Intelsat 46, IS-46)",Spacebus NEO,Hispasat,4146,6-Feb-2023
58 W,active,"Intelsat 21 (IS-21, PAS-21)",BSS-702MP,Intelsat,5984,19-Aug-2012
55 W,retired,"Inmarsat-3F2 (Inmarsat 3F2, I3F2, AOR-E)",AS-4000,Inmarsat plc,1110,6-Sep-1996
55 W,failed,Intelsat 27 (IS-27),BSS-702MP,Intelsat,6203,1-Feb-2013
55 W,active,"Inmarsat GX2 (Inmarsat 5F2, I5-AOR, GX2)",BSS-702HP,Inmarsat plc,6104,1-Feb-2015
55 W,active,"Intelsat 34 (IS-34, Hispasat 55W-2, H55W-2)",LS-1300,Intelsat,3300,18-Aug-2015
54 W,retired,"Inmarsat-3F4 (Inmarsat 3 F4, I3F4, AOR-W)",AS-4000,Inmarsat plc,2079,4-Jun-1997
54 W,active,"Inmarsat-3F5 (Inmarsat 3F5, I3F5, IND-W)",AS-4000,Inmarsat plc,1980,22-Jan-1998
53 W,active,Intelsat 23 (IS-23),GEOStar-2,Intelsat,2681,14-Oct-2012
53 W,retired,"Intelsat 707 (IS-707, Intelsat 7-F7)",LS-1300,Intelsat,4180,14-Mar-1996
50 W,active,Intelsat 902 (IS-902),LS-1300,Intelsat,4723,30-Aug-2001
50 W,failed,Intelsat 29E (IS-29E),BSS-702MP,Intelsat,6552,28-Jan-2016
49 W,disabled,AOneSat 1,Express-1000,AOneSat Communications AG,1500,31-Dec-2020
47 W,active,SES 14,Eurostar-3000EOR,SES S.A.,4423,25-Jan-2018
47 W,deorbited,NSS 703 (Intelsat 703),LS-1300,SES S.A.,3642,6-Oct-1994
47 W,deorbited,NSS 806 (Intelsat 806),AS-7000,SES S.A.,3720,19-Feb-1998
45 W,active,"Intelsat 14 (IS-14, PAS 14)",LS-1300,Intelsat,5663,23-Nov-2009
43 W,retired,"Intelsat 11 (IS-11, PAS-11)",GEOStar-2,Intelsat,2450,5-Oct-2007
43 W,active,"Intelsat 32e (IS-32e, SKY Brasil-1, Sky-B1)",Eurostar-3000,Intelsat,6300,14-Feb-2017
40 W,active,SES 6,Eurostar-3000,SES S.A.,6140,3-Jun-2013
39 W,deorbited,XM 1 (XM Roll),BSS-702,XM Satellite Radio Holdings Inc./Sirius Satellite Radio,4682,8-May-2001
37 W,active,Telstar 11N (Telstar 11R),LS-1300,Telesat Canada Ltd.,4012,26-Feb-2009
37 W,active,"NSS 10 (AMC 12, Star One C12, Worldsat 2, GE 1i)",Spacebus-4000C3,SES S.A.,4953,3-Feb-2005
36 W,deorbited,Hispasat 55W-1 (Amazonas 1),Eurostar-3000S,Hispasat,4545,4-Aug-2004
36 W,active,"Hispasat 36W-1 (H36W-1, Hispasat AG1, HAG1, Hispasat Advanced Generation 1, Hispasat 2A)",SmallGEO (Luxor) bus,Hispasat,3343,28-Jan-2017
34 W,retired,Skynet 4F,ECS Bus,Paradigm Secure Communications Ltd (EADS Company),1500,7-Feb-2001
34 W,active,"Hylas 4 (Hylas Africa, Hylas 5)",GEOStar-3,Avanti Communications Ltd,4050,5-Apr-2018
34 W,active,Intelsat 35e,BSS-702MP,Intelsat,6761,5-Jul-2017
32 W,active,Intelsat 28 (Intelsat New Dawn),GEOStar-2,Intelsat,3000,22-Apr-2011
32 W,retired,Intelsat 903 (IS-903),LS-1300,Intelsat,4723,30-Mar-2002
32 W,active,"Intelsat 25 (Protostar 1, Protostar I, Chinasat 8, Zhongxing 8, IS-25)",LS-1300,Intelsat,4180,7-Jul-2008
30 W,active,"Hispasat 30W-5 (H30W-5, Hispasat 1E)",LS-1300,Hispasat,5320,29-Dec-2010
30 W,active,"Hispasat 30W-6 (H30W-6, Hispasat 1F)",LS-1300,Hispasat,6092,6-Mar-2018
30 W,active,XTAR-LANT (Spainsat 1),LS-1300,XTAR LLC,3408,11-Mar-2006
29 W,deorbited,"Intelsat 705 (IS-705, Intelsat 7-F5)",LS-1300,Intelsat,3653,22-Mar-1995
29 W,retired,Intelsat 801 (IS-801),AS-7000,Intelsat,3447,28-Feb-1997
29 W,retired,"Intelsat 701 (IS-701, Intelsat 7-F1)",LS-1300,Intelsat,3642,22-Oct-1993
29 W,active,Intelsat 904 (IS-904),LS-1300,Intelsat,4680,23-Feb-2002
28 W,failed,"Inmarsat-6 F2 (Inmarsat GX 6B, I6-F2, GX6B)",Eurostar-3000EOR,Inmarsat plc,5470,18-Feb-2023
27 W,retired,"Intelsat 901 (IS-901, IS-901)",LS-1300,Intelsat,4723,9-Jun-2001
27 W,retired,Intelsat 907 (IS-907),LS-1300,Intelsat,4685,15-Feb-2003
27 W,deorbited,XM 2 (XM Rock),BSS-702,XM Satellite Radio Holdings Inc./Sirius Satellite Radio,4682,18-Mar-2001
25 W,active,AlComSat 1,DFH-4 Bus,Agence Spatiale Algerienne (ASAL),5200,11-Dec-2017
22 W,active,SES 4 (NSS 14),LS-1300,SES S.A.,6180,14-Feb-2012
20 W,active,Al Yah 3,GEOStar-2,Al Yah Satellite Communications Company PrJSC (Yahsat),3795,25-Jan-2018
20 W,retired,NSS 7,A2100AX,SES S.A.,4692,16-Apr-2002
19 W,moving,Arcturus (Aurora 4A),MicroGEO,Astranis Space Technologies Corp.,400,1-May-2023
18 W,active,Skynet 5C,Eurostar-3000S,Paradigm Secure Communications Ltd (EADS Company),4638,12-Jun-2008
18 W,active,Intelsat 37e,BSS-702MP,Intelsat,6438,29-Sep-2017
18 W,deorbited,"Intelsat 7 (IS-7, PAS-7)",LS-1300,Intelsat,3833,16-Sep-1998
16 W,testing,"Eutelsat Hot Bird 13E (HB13E, Eutelsat 9A, E9A, Eurobird 9A, Hot Bird 7A, Hotbird 7A)",Spacebus-3000B3,Eutelsat Communications S.A.,4100,11-Mar-2006
16 W,disabled,"ABS-3 (Agila 2, Mabuhay 1, ABS 5)",LS-1300,ABS,3775,19-Aug-1997
16 W,active,"Luch 5B (Loutch-5B, Луч-5Б)",Express-1000A,Roscosmos (Russian Federal Space Agency),1140,2-Nov-2012
15 W,active,Telstar 12V (Telstar 12 Vantage),Eurostar-3000,Telesat Canada Ltd.,4900,24-Nov-2015
14 W,active,Express AM8,Express-1000SN,Russian Satellite Communications Company,2100,14-Sep-2015
12 W,active,"Eutelsat 12 West G (E12WG, Eutelsat Hot Bird 13C, HB13C, HB9, Hotbird 9, Hot Bird 9)",Eurostar-3000,Eutelsat Communications S.A.,4880,20-Dec-2008
12 W,retired,"Eutelsat 12 West E (E12WE, Afghansat 1, E48D, E48B, W2M, Eutelsat W2M, Eutelsat 28B)",I-3K (I-3000) Bus,Eutelsat Communications S.A.,3460,20-Dec-2008
12 W,retired,"Eutelsat 12 West B (E12WB, E8WA, AB2, Atlantic Bird 2, Eutelsat 8 West A)",Spacebus-3000B2,Eutelsat Communications S.A.,3150,25-Sep-2001
11 W,deorbited,Express A3 (Ekspress 3A),MSS-2500-GSO,Russian Satellite Communications Company,2600,24-Jun-2000
11 W,active,Express AM44 (Ekspress AM-44),MSS-2500-GSO,Russian Satellite Communications Company,2560,11-Feb-2009
10 W,active,"HellasSat 2 (HS 2, Hellas Sat 2, Intelsat K-TV, NSS K-TV)",Eurostar-2000+,Hellas-Sat (Arabsat subsidiary),3300,12-May-2003
8 W,retired,"Eutelsat 8 West D (E8WD, Eutelsat 3A, E3A, XINNUO 3, Sinosat 3, ChinaSat 5C)",DFH-3 Bus,Eutelsat Communications S.A.,2200,31-May-2007
8 W,retired,Telecom 2D,Eurostar-2000,Eutelsat Communications S.A.,2275,8-Aug-1996
8 W,active,Eutelsat 8 West B,Spacebus-4000C3,Eutelsat Communications S.A.,5600,18-Aug-2015
7 W,active,Nilesat 201,Spacebus-4000B2,Nilesat (The Egyptian Satellite Co.),3200,4-Aug-2010
7 W,active,"Eutelsat 7 West A (E7WA, AB7, Atlantic Bird 7, Nilebird, Atlantic Bird 4R, Nilesat 104)",Eurostar-3000,Eutelsat Communications S.A.,4600,24-Sep-2011
7 W,failed,Kizuna (WINDS),WINDS,JAXA (Japan Aerospace Exploration Agency),4850,23-Feb-2008
7 W,deorbited,Nilesat 101,Eurostar-2000,Nilesat (The Egyptian Satellite Co.),1840,28-Apr-1998
7 W,retired,Nilesat 102,Eurostar-2000,Nilesat (The Egyptian Satellite Co.),1827,17-Aug-2000
7 W,active,Nilesat 301,Spacebus-4000B2,Nilesat (The Egyptian Satellite Co.),3938,6-Aug-2022
5 W,active,Eutelsat 5 West B (E5WB),GEOStar-2,Eutelsat Communications S.A.,2864,9-Oct-2019
5 W,deorbited,"Eutelsat 5 West A (E5WA, AB3, Atlantic Bird 3, Stellat 5)",Spacebus-3000B3,Eutelsat Communications S.A.,4050,5-Jul-2002
4 W,retired,Amos 2,Amos Bus,Spacecom Satellite Communications,1360,27-Dec-2003
4 W,retired,Thor 3,HS-376HP,Space Norway AS,1400,10-Jun-1998
4 W,active,Amos 3 (Amos 60),Amos Bus,Spacecom Satellite Communications,1263,28-Apr-2008
4 W,failed,Amos 6,Amos Bus,Spacecom Satellite Communications,5500,1-Sep-2016
4 W,planned,Amos 8,Amos Bus,Spacecom Satellite Communications,Nan,30-Dec-2024
4 W,active,Dror 1 (PR-8000),Amos 4000,Government of Israel,4000,13-Jul-2025
3 W,active,ABS-3A,BSS-702SP,ABS,1954,2-Mar-2015
1 W,active,"Thor 6 (Intelsat 1W, IS-1W)",Spacebus-4000B2,Space Norway AS,3049,29-Oct-2009
1 W,active,Thor 7,LS-1300,Space Norway AS,4600,26-Apr-2015
1 W,active,Skynet 4E,ECS Bus,Paradigm Secure Communications Ltd (EADS Company),1500,26-Feb-1999
1 W,active,"Intelsat 10-02 + MEV2 (Intelsat 1002, Intelsat Alpha-2, Intelsat X-02, IS-1002, MEV 2)",Eurostar-3000,Intelsat,5576,16-Jun-2004
1 W,active,Thor 5 (Thor 2R),GEOStar-2,Space Norway AS,1960,11-Feb-2008
